Neighborhood,ID,Latitude,Longitude,"11 Agriculture, forestry, fishing and hunting","21 Mining, quarrying, and oil and gas extraction",22 Utilities,23 Construction,31-33 Manufacturing,41 Wholesale trade,44-45 Retail trade,48-49 Transportation and warehousing,51 Information and cultural industries,52 Finance and insurance,53 Real estate and rental and leasing,"54 Professional, scientific and technical services",55 Management of companies and enterprises,"56 Administrative and support, waste management and remediation services",61 Educational services,62 Health care and social assistance,"71 Arts, entertainment and recreation",72 Accommodation and food services,81 Other services (except public administration),91 Public administration,Any Job,Avg House Price,Avg Household Income,HAI,Avg House Price Categories,Avg Household Income Categories,HAI Categories,Assault,AutoTheft,Homicide,TheftOver,BreakandEnter,Robbery,All Crimes,Assault Categories,AutoTheft Categories,Homicide Categories,TheftOver Categories,BreakandEnter Categories,Robbery Categories,All Crimes Categories,English,French,Montagnais (Innu),Swampy Cree,Ojibway,Oji-Cree,Ottawa (Odawa),Dene,Sarsi (Sarcee),Mohawk,Dakota,Kabyle,Bilen,Oromo,Somali,Waray-Waray,Amharic,Arabic,Assyrian Neo-Aramaic,Chaldean Neo-Aramaic,Harari,Hebrew,Maltese,Tigrigna,Khmer (Cambodian),Vietnamese,Bikol,Cebuano,Fijian,Hiligaynon,Ilocano,Malagasy,Malay,"Pampangan (Kapampangan, Pampango)",Pangasinan,"Tagalog (Pilipino, Filipino)",Haitian Creole,Kannada,Malayalam,Tamil,Telugu,Albanian,Armenian,Latvian,Lithuanian,Belarusan,Bosnian,Bulgarian,Croatian,Czech,Macedonian,Polish,Russian,Serbian,Serbo-Croatian,Slovak,Slovene (Slovenian),Ukrainian,Scottish Gaelic,Welsh,Afrikaans,Danish,Dutch,German,Icelandic,Norwegian,Swedish,Vlaams (Flemish),Yiddish,Greek,Bengali,Gujarati,Hindi,Kashmiri,Konkani,Marathi,Nepali,Oriya (Odia),Punjabi (Panjabi),Sindhi,Sinhala (Sinhalese),Urdu,Kurdish,Pashto,Persian (Farsi),Catalan,Japanese,Italian,Portuguese,Romanian,Spanish,Georgian,Korean,Mongolian,Akan (Twi),Bamanankan,Edo,Ewe,"Fulah (Pular, Pulaar, Fulfulde)",Ga,Ganda,Igbo,Lingala,Rundi (Kirundi),Kinyarwanda (Rwanda),Shona,Swahili,Wolof,Yoruba,Dinka,Cantonese,Hakka,Mandarin,Min Dong,"Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",Wu (Shanghainese),Burmese,Tibetan,Lao,Thai,Azerbaijani,Turkish,Uyghur,Uzbek,Estonian,Finnish,Hungarian,Afghan Restaurant,African Restaurant,American Restaurant,Asian Restaurant,BBQ Joint,Bagel Shop,Bakery,Bistro,Brazilian Restaurant,Breakfast Spot,Burger Joint,Burrito Place,Café,Cajun / Creole Restaurant,Cantonese Restaurant,Caribbean Restaurant,Caucasian Restaurant,Chinese Restaurant,Comfort Food Restaurant,Creperie,Cuban Restaurant,Czech Restaurant,Deli / Bodega,Dim Sum Restaurant,Diner,Doner Restaurant,Donut Shop,Dumpling Restaurant,Eastern European Restaurant,Egyptian Restaurant,Ethiopian Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Food Court,Food Truck,French Restaurant,Fried Chicken Joint,Gastropub,Greek Restaurant,Hakka Restaurant,Hotpot Restaurant,Hungarian Restaurant,Indian Chinese Restaurant,Indian Restaurant,Indonesian Restaurant,Irish Pub,Italian Restaurant,Japanese Restaurant,Kebab Restaurant,Korean Restaurant,Latin American Restaurant,Malay Restaurant,Mediterranean Restaurant,Mexican Restaurant,Middle Eastern Restaurant,New American Restaurant,Noodle House,Pakistani Restaurant,Persian Restaurant,Peruvian Restaurant,Pizza Place,Poke Place,Portuguese Restaurant,Poutine Place,Ramen Restaurant,Restaurant,Salad Place,Sandwich Place,Seafood Restaurant,Snack Place,Soup Place,South American Restaurant,Souvlaki Shop,Spanish Restaurant,Sri Lankan Restaurant,Steakhouse,Sushi Restaurant,Szechuan Restaurant,Taco Place,Tapas Restaurant,Thai Restaurant,Theme Restaurant,Tibetan Restaurant,Turkish Restaurant,Vegetarian / Vegan Restaurant,Vietnamese Restaurant,Wings Joint,Xinjiang Restaurant
Cabbagetown-South St. James Town,71,43.667647727399995,-79.36610665810001,0.0,0.0,0.08,0.077,0.072,0.115,0.182,0.127,0.182,0.059,0.102,0.082,0.1,0.127,0.284,0.214,0.153,0.214,0.327,0.216,0.141,1400000,138000,69.449,"Medium (964,000-1,432,000)","Medium (106,666-152,333)",Low (<76),876,91,2,44,558,175,1746,"Medium (588-1,027)",Low (<105),Medium (2-4),Medium (26-44),High (>353),Medium (109-192),"Medium (1,138-1,773)",0.179,0.175,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.028,0.015,0.0,0.0,0.0,0.0,0.0,0.095,0.022,0.016,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.007,0.0,0.062,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.1,0.0,0.021,0.014,0.021,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.007,0.001,0.019,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.045,0.004,0.0,0.0,0.006,0.0,0.075,0.007,0.01,0.042,0.044,0.0,0.019,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.0,0.0,0.0,0.019,0.024,0.02,0.25,0.053,0.0,0.0,0.004,0.0,0.25,0.0,0.021,0.0,0.0,0.111,0.0,0.04,0.0,0.0,0.667,0.333,0.25,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.455,0.8,0.0,0.0,0.0,0.0,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.333,0.286,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2,0.0,1.0,0.5,0.6,1.0,0.0,0.0,0.0,0.143,0.0,0.0
Regent Park,72,43.659992142200004,-79.3605088051,0.0,0.108,0.04,0.062,0.071,0.112,0.18,0.142,0.085,0.04,0.065,0.05,0.04,0.145,0.141,0.16,0.16,0.252,0.193,0.146,0.108,658000,67000,71.74,"Low (<964,000)","Low (<106,666)",Low (<76),1029,90,12,39,317,145,1632,"High (>1,027)",Low (<105),High (>4),Medium (26-44),Medium (224-353),Medium (109-192),"Medium (1,138-1,773)",0.113,0.208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.113,0.0,0.361,0.118,0.0,0.0,0.2,0.0,0.0,0.238,0.067,0.102,0.0,0.0,0.0,0.0,0.022,0.0,0.143,0.0,0.0,0.049,0.0,0.0,0.018,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.368,0.003,0.037,0.0,0.0,0.0,0.063,0.333,0.004,0.0,0.045,0.028,0.059,0.055,0.012,0.0,0.03,0.002,0.004,0.0,0.055,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.294,0.0,0.0,1.0,0.035,0.049,0.069,0.0,0.026,0.0,0.167,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.333,0.333,0.0,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.533,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273,0.8,0.0,0.0,0.0,0.0,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.333,0.429,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.0,0.5,0.6,1.0,0.0,0.0,0.5,0.143,0.0,0.0
Moss Park,73,43.6565176231,-79.3672970317,0.333,0.189,0.28,0.151,0.122,0.155,0.313,0.227,0.25,0.138,0.2,0.198,0.14,0.259,0.268,0.279,0.35,0.354,0.382,0.23,0.238,762666,107000,98.847,"Low (<964,000)","Medium (106,666-152,333)",Medium (76-100),2314,147,12,91,724,612,3900,"High (>1,027)",Medium (105-184),High (>4),High (>44),High (>353),High (>192),"High (>1,773)",0.282,0.429,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.104,0.0,0.889,0.118,0.0,0.0,0.2,0.021,0.0,0.667,0.0,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.047,0.0,0.0,0.0,0.013,0.024,0.021,0.0,0.0,0.0,0.0,0.0,0.038,0.034,0.1,0.0,0.041,0.023,0.062,0.111,0.0,0.0,0.005,0.0,0.0,0.0,0.5,0.143,0.267,0.0,0.0,0.0,0.0,0.0,0.019,0.059,0.001,0.075,0.0,0.0,0.091,0.0,0.0,0.009,0.0,0.045,0.014,0.0,0.018,0.02,0.0,0.104,0.011,0.011,0.032,0.083,0.0,0.028,0.0,0.053,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,1.0,0.0,0.0,0.412,0.0,0.0,0.0,0.027,0.0,0.036,0.0,0.0,0.045,0.0,0.007,0.0,0.25,0.0,0.011,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.333,0.333,0.0,0.0,0.125,1.0,0.0,0.0,0.0,0.0,0.467,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.333,0.857,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.8,1.0,0.0,0.0,0.5,0.0,0.0,0.0
North St. James Town,74,43.6696234081,-79.3752465775,0.0,0.0,0.12,0.122,0.166,0.194,0.406,0.204,0.122,0.076,0.132,0.098,0.1,0.301,0.277,0.303,0.163,0.469,0.559,0.205,0.206,694000,69000,70.049,"Low (<964,000)","Low (<106,666)",Low (<76),906,84,3,37,344,166,1540,"Medium (588-1,027)",Low (<105),Medium (2-4),Medium (26-44),Medium (224-353),Medium (109-192),"Medium (1,138-1,773)",0.195,0.292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.571,0.043,0.0,0.944,0.172,0.0,0.0,1.0,0.042,0.0,0.667,0.022,0.025,0.0,0.538,0.0,0.667,0.391,0.0,0.0,0.5,0.0,0.434,0.0,0.0,0.088,0.094,0.405,0.021,0.004,0.0,0.0,0.0,0.154,0.077,0.069,0.2,0.069,0.048,0.036,0.09,0.0,0.008,0.0,0.01,0.0,0.0,0.0,0.0,0.143,0.067,0.0,0.0,0.25,0.0,0.0,0.026,0.064,0.007,0.299,0.0,0.0,0.455,1.0,0.333,0.009,0.0,0.045,0.061,0.059,0.043,0.035,0.0,0.045,0.002,0.033,0.032,0.122,0.019,0.055,0.25,0.026,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.118,0.0,0.0,0.0,0.013,0.049,0.048,0.0,0.079,0.0,0.167,0.025,0.0,0.0,0.2,0.096,0.0,0.091,0.0,0.0,0.12,0.0,0.0,0.333,0.333,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.8,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.636,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.111,0.0,1.0,0.0,0.333,0.571,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.4,0.0,0.0,0.5,0.6,1.0,0.0,0.0,0.0,0.143,0.0,0.0
Church-Yonge Corridor,75,43.6596488635,-79.3790171666,0.167,0.108,0.44,0.168,0.19,0.32,0.562,0.336,0.463,0.262,0.317,0.326,0.34,0.364,0.732,0.567,0.493,0.532,0.598,0.584,0.421,749500,83500,78.493,"Low (<964,000)","Low (<106,666)",Medium (76-100),2051,120,6,107,601,432,3317,"High (>1,027)",Medium (105-184),High (>4),High (>44),High (>353),High (>192),"High (>1,773)",0.454,0.506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.026,0.0,0.139,0.256,0.003,0.0,0.0,0.083,0.0,0.333,0.0,0.02,0.0,0.154,0.0,0.167,0.0,1.0,0.429,0.0,0.0,0.059,0.0,0.5,0.07,0.015,0.19,0.062,0.015,0.167,0.0,0.0,0.0,0.269,0.069,0.2,0.103,0.083,0.054,0.062,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.286,0.2,0.0,0.0,0.0,0.0,0.0,0.019,0.045,0.01,0.262,0.0,0.333,0.636,0.013,1.0,0.007,0.0,0.0,0.022,0.0,0.0,0.065,0.0,0.194,0.024,0.035,0.084,0.154,0.0,0.094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.118,0.0,0.091,0.0,0.039,0.024,0.162,0.0,0.053,0.136,0.0,0.004,0.0,0.75,0.1,0.096,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.667,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273,0.8,0.0,0.0,0.0,0.0,0.5,0.333,0.1,1.0,0.0,0.0,0.0,0.0,0.111,1.0,1.0,0.0,0.333,0.714,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0
Bay Street Corridor,76,43.6575113467,-79.3857212509,0.0,0.216,0.42,0.101,0.129,0.237,0.318,0.124,0.211,0.191,0.246,0.228,0.24,0.134,0.723,0.583,0.235,0.259,0.327,0.303,0.284,861000,163000,133.382,"Low (<964,000)","High (>152,333)",High (>100),2988,127,5,202,615,470,4407,"High (>1,027)",Medium (105-184),High (>4),High (>44),High (>353),High (>192),"High (>1,773)",0.301,0.273,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.056,0.67,0.0,0.0,0.0,0.083,0.0,0.0,0.022,0.016,0.0,0.0,0.0,0.167,0.022,0.0,0.143,0.0,0.0,0.033,0.0,0.25,0.053,0.006,0.071,0.0,0.025,0.0,0.0,0.0,0.077,0.077,0.0,0.1,0.034,0.041,0.034,0.041,0.0,0.017,0.0,0.03,0.0,0.0,0.0,0.0,0.143,0.333,0.0,0.0,0.0,0.0,0.0,0.026,0.026,0.005,0.206,0.0,0.0,0.182,0.063,0.0,0.006,0.0,0.091,0.028,0.059,0.0,0.079,0.0,0.597,0.017,0.031,0.042,0.126,0.0,0.209,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074,0.0,0.482,0.0,0.158,0.273,0.167,0.0,0.0,1.0,0.2,0.202,0.0,0.0,0.0,0.2,0.04,0.0,0.0,0.667,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273,0.8,0.0,0.0,0.0,0.0,0.5,0.333,0.1,1.0,0.0,0.0,0.0,0.0,0.333,1.0,1.0,0.0,0.667,0.714,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.2,0.0,0.0,0.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Waterfront Communities-The Island,77,43.6338803623,-79.3772023146,0.333,1.0,1.0,0.48,0.473,1.0,1.0,0.507,1.0,1.0,1.0,1.0,1.0,0.732,1.0,1.0,1.0,1.0,1.0,1.0,1.0,803000,132333,116.109,"Low (<964,000)","Medium (106,666-152,333)",High (>100),1292,81,1,85,375,124,1958,"High (>1,027)",Low (<105),Low (<2),High (>44),High (>353),Medium (109-192),"High (>1,773)",1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.25,0.5,0.424,0.003,0.0,0.0,0.062,0.0,0.286,0.022,0.036,0.0,0.0,0.0,0.167,0.022,0.0,0.571,0.0,0.0,0.077,0.0,0.5,0.053,0.011,0.214,0.083,0.022,0.167,0.0,0.0,0.231,0.192,0.103,0.7,0.034,0.076,0.091,0.124,0.111,0.025,0.111,0.035,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.045,0.047,0.007,0.43,0.0,0.333,0.455,0.0,0.0,0.013,0.103,0.091,0.047,0.059,0.0,0.118,1.0,0.433,0.028,0.064,0.116,0.333,0.0,0.122,0.0,0.013,1.0,0.0,0.0,0.0,0.0,0.667,0.111,0.0,0.0,0.5,0.0,0.118,0.0,0.182,0.0,0.101,0.0,0.323,0.0,0.263,0.455,0.167,0.007,0.0,0.75,0.0,0.191,0.0,0.0,0.0,0.2,0.16,0.0,0.0,0.667,0.333,0.0,0.0,0.125,1.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.333,0.0,0.1,0.0,1.0,0.0,0.0,0.25,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.25,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.364,0.6,0.0,0.0,0.0,0.0,0.5,0.333,0.1,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.333,0.714,0.0,0.2,0.667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.5,0.0,0.0,0.0
Kensington-Chinatown,78,43.653554131599996,-79.3972398768,0.417,0.054,0.14,0.115,0.12,0.122,0.357,0.112,0.203,0.073,0.108,0.119,0.12,0.165,0.344,0.25,0.293,0.456,0.339,0.192,0.195,962666,77333,56.598,"Low (<964,000)","Low (<106,666)",Low (<76),2051,153,8,148,840,356,3556,"High (>1,027)",Medium (105-184),High (>4),High (>44),High (>353),High (>192),"High (>1,773)",0.203,0.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,0.0,0.083,0.103,0.0,0.0,0.0,0.0,0.0,0.048,0.022,0.102,0.0,0.0,1.0,0.0,0.0,0.0,0.286,0.0,0.0,0.04,0.0,0.0,0.018,0.002,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.077,0.034,0.1,0.0,0.034,0.011,0.007,0.111,0.008,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.001,0.037,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.008,0.059,0.012,0.014,0.333,0.149,0.007,0.054,0.021,0.067,0.0,0.041,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.091,0.0,0.215,0.049,0.292,0.75,0.342,0.273,0.167,0.007,0.0,0.75,0.0,0.011,0.0,0.0,0.111,0.0,0.02,0.0,0.0,0.667,0.667,0.0,0.0,0.375,0.0,0.0,0.0,0.333,0.0,0.533,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.1,0.0,0.0,0.0,0.0,1.0,0.333,0.0,0.0,0.0,0.0,0.571,0.0,0.4,0.333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.2,0.0,0.0,0.0,0.5,0.0,0.0,0.0
University,79,43.6625062026,-79.401179748,0.333,0.054,0.04,0.086,0.037,0.083,0.103,0.059,0.094,0.027,0.049,0.054,0.0,0.06,0.29,0.086,0.153,0.123,0.15,0.078,0.085,1700000,131000,54.292,"High (>1,432,000)","Medium (106,666-152,333)",Low (<76),1745,114,3,107,897,322,3188,"High (>1,027)",Medium (105-184),Medium (2-4),High (>44),High (>353),High (>192),"High (>1,773)",0.105,0.097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.028,0.015,0.0,0.0,0.0,0.042,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.0,0.0,0.0,0.0,0.007,0.005,0.0,0.0,0.0,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.267,1.0,0.0,0.0,0.0,0.0,0.026,0.005,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.006,0.004,0.333,0.09,0.015,0.048,0.011,0.034,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.038,0.0,0.026,0.045,0.0,0.0,0.0,0.25,0.1,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.25,0.0,0.375,0.0,0.0,0.0,0.333,0.0,0.533,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182,0.2,0.0,0.1,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222,0.0,1.0,0.0,0.333,0.571,0.0,0.4,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.2,0.0,0.0,1.0,0.4,1.0,0.0,0.0,0.5,0.0,0.0,0.0
Palmerston-Little Italy,80,43.6591571037,-79.41840872739999,0.5,0.0,0.1,0.146,0.092,0.14,0.226,0.112,0.264,0.051,0.132,0.122,0.16,0.132,0.414,0.222,0.337,0.311,0.276,0.208,0.181,1600000,120000,52.842,"High (>1,432,000)","Medium (106,666-152,333)",Low (<76),622,101,0,57,327,160,1267,"Medium (588-1,027)",Low (<105),Low (<2),High (>44),Medium (224-353),Medium (109-192),"Medium (1,138-1,773)",0.208,0.162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,0.005,0.0,0.0,0.0,0.0,0.0,0.048,0.022,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.021,0.0,0.0,0.05,0.0,0.077,0.0,0.069,0.0,0.034,0.014,0.003,0.007,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.5,0.0,0.067,1.0,0.0,0.25,0.0,0.0,0.116,0.002,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0.001,0.0,0.045,0.003,0.0,0.0,0.003,0.0,0.104,0.159,0.182,0.0,0.062,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.024,0.022,0.0,0.079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.4,0.0,0.0,0.0,0.333,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.533,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182,0.2,0.0,0.2,0.0,0.0,0.0,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.429,0.0,0.3,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.143,0.0,0.0
